-450.714,648.003,-26.1766
0.925377,-0.379037,-0.0026886
0.378852,0.925106,-0.0254839
0.0121466,0.0225637,0.999672
1,-16.1667,53.2175,-0.840797
2,-10.0856,49.9707,-1.35871
5,-27.4672,113.711,0.25202
6,-7.59553,50.0796,-0.468833
7,-3.04147,8.70301,-1.36922
8,-2.60145,8.7426,-1.1092
9,-31.0744,105.579,0.854903
10,-26.4865,140.323,-0.510411
11,-3.05143,8.7521,-0.949112
12,-2.17144,8.8321,-0.809065
13,-25.8144,106.626,2.76642
14,-12.097,84.3046,1.16604
15,-3.08142,8.87137,-0.618848
16,-2.80177,9.80184,-0.786871
17,-29.0916,98.6144,3.18952
18,-26.496,140.346,2.78965
19,-3.54141,8.85111,-0.568826
21,-29.0986,120.765,7.47757
22,-3.10144,8.99091,-0.408586
23,-2.88187,10.2112,-0.515971
24,-3.57142,8.98064,-0.35854
26,-9.10884,34.7771,9.64822
27,-12.5855,49.6992,-1.06894
29,-15.6162,51.9376,-0.823652
30,-9.91562,49.9707,-1.35874
33,-31.1534,131.59,0.291322
34,-3.01148,8.71302,-1.3692
35,-2.58145,8.74261,-1.1092
36,-31.7156,109.219,0.882888
37,-26.0065,140.344,-0.510436
38,-3.03143,8.75211,-0.949115
39,-2.14144,8.83211,-0.809069
40,-26.7163,112.226,2.9187
41,-11.8571,84.5847,1.16661
42,-3.08148,9.0214,-0.628523
43,-2.81187,10.0919,-0.816241
44,-28.7717,98.7445,3.18976
45,-26.006,140.336,2.77956
46,-3.51142,8.87112,-0.568787
48,-29.3696,123.775,7.65413
49,-3.08144,9.01092,-0.408545
50,-3.54143,8.99065,-0.358523
52,-9.00885,34.8271,9.65832
53,-12.4255,49.8193,-1.0787
55,-15.4362,51.9577,-0.823634
56,-9.74563,50.0008,-1.3587
59,-30.9237,132.71,0.293718
60,-7.25553,50.0797,-0.468882
61,-2.98149,8.73306,-1.37916
62,-2.54145,8.75262,-1.10918
63,-30.2643,105.449,0.854505
64,-25.5165,140.354,-0.510485
65,-3.00144,8.77212,-0.949076
66,-2.11145,8.86212,-0.809008
67,-31.1336,133.623,3.46574
68,-11.5471,84.5648,1.16653
69,-3.03144,8.93139,-0.618725
70,-2.84199,10.4219,-0.835521
71,-29.6032,103.074,3.32926
72,-25.506,140.357,2.77953
73,-3.49143,8.91112,-0.568703
75,-28.4389,121.665,7.51943
76,-3.52142,8.98066,-0.358547
78,-12.2455,49.8393,-1.06869
80,-9.55562,49.9809,-1.35877
83,-30.3736,132.41,0.292989
84,-7.08553,50.0998,-0.468862
85,-2.95149,8.74307,-1.37915
86,-2.50145,8.74264,-1.10921
87,-28.2423,99.5199,0.801356
88,-25.0165,140.424,-0.510404
89,-2.96142,8.73213,-0.949168
90,-2.08144,8.83211,-0.799078
91,-30.6336,133.583,3.46558
92,-11.2572,84.7049,1.16679
93,-28.322,99.8046,3.22199
94,-25.016,140.427,2.77961
95,-3.47146,8.98115,-0.578554
97,-28.1992,122.605,7.57143
99,-3.48143,8.99067,-0.358531
101,-8.05792,31.7593,8.79153
102,-6.59862,32.6856,6.11332
103,-12.1256,50.1394,-1.07805
105,-15.0663,52.0678,-0.823448
106,-9.20527,48.9709,-1.33101
109,-29.7734,131.831,0.291645
